_id,KODEA/CODIGO,UDALERRIA/MUNICIPIO,EKITALDIA /EJERCICIO,HILABETE/MES,DATUAK ERAUZI EGUNA/FECHA EXTRACCION,ARLO FUNTZIONALA/AREA FUNCIONAL,AZALERA (KM2)/EXTENSION (KM2),BIZTANLE ERROLDA/HABITANTES CENSO,JARD EKON  LURZORUA HL GUZTIRA (M2)/SUELO AE  TOTAL SUB(M2),JARD EKON  LURZORUA HL HUTSIK (M2)/SUELO AE  VACANTE SUB(M2),JARD EKON  LURZORUA  LU GUZTIRA (M2)/SUELO AE  TOTAL SUZ(M2),JARD EKON  LURZORUA LU HUTSIK (M2)/SUELO AE  VACANTE SUZ(M2),BIZIT LORZORUA HL GUZTIRA (M2)/SUELO RES  TOTAL SUB(M2),BIZIT LORZORUA HL HUTSIK (M2)/SUELO RES  VACANTE SUB(M2),BIZIT LORZORUA  LU GUZTIRA (M2)/SUELO RES  TOTAL SUZ(M2),BIZIT LORZORUA  LU HUTSIK (M2)/SUELO RES  VACANTE SUZ(M2),HL ETXE  LIBREA GUZTIRA/TOTAL VIV  SUB  LIBRE,HL ETXE  BOE GUZTIRA/TOTAL VIV  SUB  VPO,HL ETXE B BABES BATZ GUZTIRA/TOTAL VIV  SUB  OTRAS PROTEC,BURUTZEKO ETXE  HL/VIVIENDAS POR EJECUTAR SUB,LU ETXE LIBREA GUZTIRA/TOTAL VIV  SUZ  LIBRE,LU ETXE BOE GUZTIRA/TOTAL VIV  SUZ  VPO,LU ETXE  B BABES BATZ GUZTIRA/TOTAL VIV  SUZ  OTRAS PROTEC,BURUTZEKO ETXE LU/VIVIENDAS POR EJECUTAR SUZ,NG ETXE  GUZTIAK/TOTAL VIVIENDAS NR,BURUTZEKO ETXE  LN/VIVIENDAS POR EJECUTAR NR
143,=031,ELANTXOBE,2019,9,2019-10-20 08:00:01,Gernika-Markina,2,409,0,0,0,0,"32393,16",4109,0,0,68,0,0,68,0,0,0,0,0,0
113,=001,ABADIÃO,2019,9,2019-10-20 08:00:01,Durango,36,7386,"587951,08999999997","34967,519999999997","740467,81000000006","374607,52000000002","275118,55000000005","6628,8400000000001",249196,"34728,639999999999",395,23,20,50,650,307,0,168,39,16
114,=002,ABANTO Y CIERVANA-ABANTO ZIERBENA,2019,9,2019-10-20 08:00:01,Bilbao Metropolitano,16,9772,"579274,16000000003","118040,97",1106586,"885482,87","903292,17000000004","254195,72","297048,78999999998","297048,78999999998",628,160,120,759,411,812,244,1467,67,0
115,=003,AMOREBIETA-ETXANO,2019,9,2019-10-20 08:00:01,Durango,59,18146,"1307060,5399999998","158451,57999999999","1604425,4399999999","348989,96000000002","901002,75","93941,490000000005","521935,94","216013,56",1225,223,0,455,1678,763,0,1312,320,112
116,=004,AMOROTO,2019,9,2019-10-20 08:00:01,Gernika-Markina,13,401,"35476,910000000003","7099,79",0,0,"61916,280000000006","14563,870000000001",0,0,27,0,18,22,0,0,0,0,38,7
118,=006,ARANTZAZU,2019,9,2019-10-20 08:00:01,Igorre,4,359,"3769,9200000000001",0,"269196,5","86851,080000000002","88869,110000000001","20732,110000000001",0,0,45,0,25,20,0,0,0,0,55,16
119,=007,MUNITIBAR-ARBATZEGI GERRIKAITZ,2019,9,2019-10-20 08:00:01,Gernika-Markina,24,438,0,0,0,0,"62822,120000000003",1528,26925,26925,62,20,0,6,29,0,0,29,57,27
120,=008,ARTZENTALES,2019,9,2019-10-20 08:00:01,Balmaseda-Zalla,37,753,0,0,0,0,"116116,64999999999","18452,130000000001","30077,220000000001","30077,220000000001",37,0,0,37,65,0,0,65,74,18
121,=009,ARRANKUDIAGA,2019,9,2019-10-20 08:00:01,Bilbao Metropolitano,23,977,"138241,44",0,12010,12010,"364986,33999999997","99446,899999999994","21510,330000000002","21510,330000000002",192,0,19,203,15,0,0,15,41,12
122,=010,ARRIETA,2019,9,2019-10-20 08:00:01,Mungia,15,545,0,0,0,0,"46883,25","15287,76","37851,790000000001","37851,790000000001",18,0,0,16,73,0,22,95,67,9
