Codigo_Mun,Municipio,total,known,unknown,suspicious,coverage_pct,min_year,max_year,null_geom,invalid_geom,area_min_m2,area_p50_m2,area_p95_m2,area_max_m2,heaping_05_pct,dataset
1,abadino,1357,1334,0,23,98.31,1700,2024,0,0,2.24,190.92,1674.07,161809.88,53.6,parcelario-catastral-abadino
2,abanto-y-ciervana-abanto-zierbena,2547,2546,0,1,99.96,1800,2025,0,1,1.49,92.58,1211.72,85447.28,42.34,parcelario-catastral-abanto-y-ciervana-abanto-zierbena
3,amorebieta-etxano,2669,2642,0,27,98.99,1700,2026,0,0,1.8,169.97,2102.22,347199.13,46.1,parcelario-catastral-amorebieta-etxano
4,amoroto,377,375,0,2,99.47,1700,2025,0,0,1.57,95.72,426.43,6005.25,70.13,parcelario-catastral-amoroto
5,arakaldo,109,109,0,0,100.0,1700,2011,0,0,7.82,93.13,765.76,66035.9,57.8,parcelario-catastral-arakaldo
6,arantzazu,172,172,0,0,100.0,1700,2020,0,0,2.71,125.02,267.21,2009.84,50.0,parcelario-catastral-arantzazu
7,munitibar-arbatzegi-gerrikaitz,391,380,0,11,97.19,1700,2017,0,0,1.56,140.33,389.59,1413.65,70.53,parcelario-catastral-munitibar-arbatzegi-gerrikaitz
8,artzentales,711,706,0,5,99.3,1700,2024,0,0,1.0,111.9,347.75,5852.14,57.79,parcelario-catastral-artzentales
9,arrankudiaga-zollo,620,619,0,1,99.84,1700,2022,0,0,1.95,126.3,1894.16,79423.1,42.97,parcelario-catastral-arrankudiaga-zollo
10,arrieta,530,528,0,2,99.62,1700,2025,0,0,2.08,127.31,354.15,11482.59,55.3,parcelario-catastral-arrieta
11,arrigorriaga,1291,1290,0,1,99.92,1700,2025,0,0,0.73,138.47,1563.97,138979.44,35.81,parcelario-catastral-arrigorriaga
12,bakio,1141,1134,0,7,99.39,1700,2025,0,0,0.81,128.13,467.24,7020.25,43.3,parcelario-catastral-bakio
13,barakaldo,4898,4894,0,4,99.92,1700,2026,0,0,2.49,165.37,1069.85,170774.9,28.87,parcelario-catastral-barakaldo
14,barrika,749,741,0,8,98.93,1716,2025,0,0,3.0,126.94,344.51,2889.01,35.36,parcelario-catastral-barrika
15,basauri,2416,2414,0,2,99.92,1706,2025,0,0,1.36,199.61,1851.83,89522.33,39.56,parcelario-catastral-basauri
16,berango,1590,1582,0,8,99.5,1773,2026,0,0,2.3,118.97,538.53,7881.83,30.78,parcelario-catastral-berango
17,bermeo,1945,1931,0,14,99.28,1700,2026,0,0,4.97,155.27,716.07,54453.48,46.56,parcelario-catastral-bermeo
18,berriatua,614,602,0,12,98.05,1700,2025,0,0,1.65,153.05,874.15,8820.18,54.65,parcelario-catastral-berriatua
19,berriz,1104,1040,0,64,94.2,1700,2026,0,0,1.0,191.54,1393.43,92957.16,49.33,parcelario-catastral-berriz
20,bilbao,13750,13738,9,3,99.91,1700,2026,0,1,0.03,224.39,1046.58,201072.34,37.76,parcelario-catastral-bilbao
21,busturia,896,893,0,3,99.67,1750,2025,0,0,1.29,119.2,345.51,6287.86,55.54,parcelario-catastral-busturia
22,karrantza-harana-valle-de-carranza,3540,3528,0,12,99.66,1700,2026,0,0,1.22,106.05,428.95,6207.82,61.59,parcelario-catastral-karrantza-harana-valle-de-carranza
23,artea,552,550,0,2,99.64,1700,2022,0,0,2.58,108.18,929.01,6210.42,42.73,parcelario-catastral-artea
24,zeanuri,958,941,0,17,98.23,1700,2024,0,0,4.83,133.3,395.08,124832.91,55.47,parcelario-catastral-zeanuri
25,zeberio,783,770,0,13,98.34,1700,2024,0,0,2.25,120.33,331.31,1619.51,67.92,parcelario-catastral-zeberio
26,dima,989,987,0,2,99.8,1700,2024,0,0,1.49,138.22,298.02,12557.8,57.95,parcelario-catastral-dima
27,durango,1863,1847,0,16,99.14,1700,2026,0,0,3.48,200.73,717.75,20466.49,43.04,parcelario-catastral-durango
28,ea,557,549,0,8,98.56,1700,2021,0,0,2.08,114.39,458.4,4125.67,60.29,parcelario-catastral-ea
29,etxebarri,905,905,0,0,100.0,1700,2026,0,0,1.45,197.3,1184.35,80371.91,35.36,parcelario-catastral-etxebarri
30,etxebarria,454,447,0,7,98.46,1700,2022,0,0,1.3,183.94,1212.45,11197.15,52.13,parcelario-catastral-etxebarria
31,elantxobe,180,180,0,0,100.0,1750,2012,0,0,2.15,89.96,262.11,6620.34,70.56,parcelario-catastral-elantxobe
32,elorrio,1563,1510,0,53,96.61,1700,2024,0,0,4.72,160.42,1036.19,34056.45,55.83,parcelario-catastral-elorrio
33,ereno,251,251,0,0,100.0,1700,2021,0,0,4.0,101.87,399.86,1184.31,70.12,parcelario-catastral-ereno
34,ermua,723,722,0,1,99.86,1800,2026,0,1,1.57,214.9,1534.94,26681.48,29.92,parcelario-catastral-ermua
35,fruiz,398,388,0,10,97.49,1700,2025,0,0,1.86,139.07,497.28,12875.21,59.28,parcelario-catastral-fruiz
36,galdakao,2815,2807,0,8,99.72,1700,2025,0,0,0.97,131.93,1310.36,531121.49,39.58,parcelario-catastral-galdakao
37,galdames,884,872,0,12,98.64,1700,2024,0,0,0.64,85.72,305.03,2499.21,61.93,parcelario-catastral-galdames
38,gamiz-fika,943,930,0,13,98.62,1700,2024,0,0,1.88,146.73,559.75,7132.21,46.02,parcelario-catastral-gamiz-fika
39,garai,209,204,0,5,97.61,1700,2025,0,0,3.02,143.82,478.9,826.9,41.67,parcelario-catastral-garai
40,gatika,935,918,0,17,98.18,1700,2024,0,0,1.21,142.89,469.25,71877.8,48.37,parcelario-catastral-gatika
41,gautegiz-arteaga,717,713,0,4,99.44,1700,2026,0,0,2.25,111.35,366.51,2301.84,57.5,parcelario-catastral-gautegiz-arteaga
42,gordexola,1023,1008,0,15,98.53,1700,2024,0,0,2.24,111.34,336.98,6315.5,53.57,parcelario-catastral-gordexola
43,gorliz,1789,1781,0,8,99.55,1700,2026,0,0,1.02,115.34,437.55,22353.97,29.98,parcelario-catastral-gorliz
44,getxo,6221,6211,0,10,99.84,1700,2026,0,0,1.25,175.48,657.65,602951.06,26.4,parcelario-catastral-getxo
45,guenes,1687,1681,0,6,99.64,1700,2024,0,1,1.8,109.35,657.48,50384.9,54.49,parcelario-catastral-guenes
46,gernika-lumo,1663,1657,0,6,99.64,1700,2024,0,1,2.84,204.59,993.16,9782.5,33.61,parcelario-catastral-gernika-lumo
47,gizaburuaga,152,149,0,3,98.03,1700,2025,0,0,3.97,164.75,3793.42,21258.06,67.79,parcelario-catastral-gizaburuaga
48,ibarrangelu,598,592,0,6,99.0,1700,2024,0,0,2.44,101.53,342.05,16110.32,67.91,parcelario-catastral-ibarrangelu
49,ispaster,595,591,0,4,99.33,1700,2022,0,0,2.85,105.64,420.39,5189.97,56.18,parcelario-catastral-ispaster
50,izurtza,214,196,0,18,91.59,1700,2020,0,0,0.95,141.12,1627.07,8104.6,53.06,parcelario-catastral-izurtza
51,lanestosa,230,229,0,1,99.57,1803,2022,0,0,4.29,120.43,363.96,1496.56,70.74,parcelario-catastral-lanestosa
52,larrabetzu,854,836,0,18,97.89,1700,2024,0,1,2.98,132.05,710.92,17452.35,46.17,parcelario-catastral-larrabetzu
53,laukiz,750,743,0,7,99.07,1700,2025,0,0,1.58,141.97,340.78,3236.77,38.9,parcelario-catastral-laukiz
54,leioa,2390,2385,0,5,99.79,1700,2025,0,1,3.69,185.49,1653.58,86878.6,29.01,parcelario-catastral-leioa
55,lemoa,1149,1148,0,1,99.91,1700,2025,0,0,2.17,102.09,1009.3,12832.41,64.02,parcelario-catastral-lemoa
56,lemoiz,620,620,0,0,100.0,1710,2025,0,0,2.01,129.88,459.04,84658.81,35.48,parcelario-catastral-lemoiz
57,lekeitio,1007,998,0,9,99.11,1720,2024,0,0,2.2,121.29,506.09,6722.56,56.81,parcelario-catastral-lekeitio
58,mallabia,705,688,0,17,97.59,1700,2023,0,0,2.23,185.22,2003.26,9870.91,51.6,parcelario-catastral-mallabia
59,manaria,317,310,0,7,97.79,1700,2024,0,0,2.69,120.16,436.9,1723.08,62.9,parcelario-catastral-manaria
60,markina-xemein,1357,1336,0,21,98.45,1700,2025,0,0,1.16,143.38,570.83,6941.16,68.11,parcelario-catastral-markina-xemein
61,maruri-jatabe,660,660,0,0,100.0,1700,2025,0,0,1.35,147.43,359.82,2025.86,30.15,parcelario-catastral-maruri-jatabe
62,mendata,376,371,0,5,98.67,1700,2024,0,0,2.99,139.26,366.62,3816.44,57.41,parcelario-catastral-mendata
63,mendexa,331,323,0,8,97.58,1700,2025,0,0,1.67,100.03,372.59,45557.03,43.34,parcelario-catastral-mendexa
64,menaka,489,477,0,12,97.55,1700,2024,0,0,2.41,124.28,322.81,1601.81,54.93,parcelario-catastral-menaka
65,ugao-miraballes,449,445,0,4,99.11,1700,2023,0,0,4.0,162.4,1342.74,57842.69,40.9,parcelario-catastral-ugao-miraballes
66,morga,430,426,0,4,99.07,1700,2026,0,0,2.17,134.0,413.4,1835.22,55.4,parcelario-catastral-morga
67,muxika,1237,1221,0,16,98.71,1700,2024,0,0,1.9,126.37,386.42,22717.68,68.22,parcelario-catastral-muxika
68,mundaka,596,595,0,1,99.83,1800,2025,0,0,0.98,100.99,612.64,23359.94,52.61,parcelario-catastral-mundaka
69,mungia,4483,4472,0,11,99.75,1700,2026,0,0,1.44,165.63,951.42,497933.6,33.79,parcelario-catastral-mungia
70,aulesti,490,472,0,18,96.33,1700,2022,0,0,2.1,129.28,405.9,2525.75,63.98,parcelario-catastral-aulesti
71,muskiz,2284,2276,0,8,99.65,1700,2021,0,0,0.74,94.85,1572.64,96867.74,40.2,parcelario-catastral-muskiz
72,otxandio,593,588,1,4,99.16,1700,2023,0,0,1.95,118.28,687.22,6800.03,50.85,parcelario-catastral-otxandio
73,ondarroa,629,622,0,7,98.89,1700,2018,0,0,2.22,164.67,660.33,6955.28,43.25,parcelario-catastral-ondarroa
74,urduna-orduna,1568,1557,0,11,99.3,1700,2025,0,0,1.56,98.06,490.45,17404.25,65.83,parcelario-catastral-urduna-orduna
75,orozko,1318,1295,0,23,98.25,1700,2025,0,0,3.06,146.66,484.85,381696.34,56.53,parcelario-catastral-orozko
76,sukarrieta,243,240,0,3,98.77,1750,2024,0,0,2.96,150.83,437.29,2547.23,56.25,parcelario-catastral-sukarrieta
77,plentzia,1255,1251,0,4,99.68,1700,2024,0,0,2.04,112.31,410.42,11244.42,37.09,parcelario-catastral-plentzia
