KODEA/CODIGO;UDALERRIA/MUNICIPIO;EKITALDIA /EJERCICIO;HILABETE/MES;DATUAK ERAUZI EGUNA/FECHA EXTRACCION;ARLO FUNTZIONALA/AREA FUNCIONAL;AZALERA (KM2)/EXTENSION (KM2);BIZTANLE ERROLDA/HABITANTES CENSO;JARD EKON  LURZORUA HL GUZTIRA (M2)/SUELO AE  TOTAL SUB(M2);JARD EKON  LURZORUA HL HUTSIK (M2)/SUELO AE  VACANTE SUB(M2);JARD EKON  LURZORUA  LU GUZTIRA (M2)/SUELO AE  TOTAL SUZ(M2);JARD EKON  LURZORUA LU HUTSIK (M2)/SUELO AE  VACANTE SUZ(M2);BIZIT LORZORUA HL GUZTIRA (M2)/SUELO RES  TOTAL SUB(M2);BIZIT LORZORUA HL HUTSIK (M2)/SUELO RES  VACANTE SUB(M2);BIZIT LORZORUA  LU GUZTIRA (M2)/SUELO RES  TOTAL SUZ(M2);BIZIT LORZORUA  LU HUTSIK (M2)/SUELO RES  VACANTE SUZ(M2);HL ETXE  LIBREA GUZTIRA/TOTAL VIV  SUB  LIBRE;HL ETXE  BOE GUZTIRA/TOTAL VIV  SUB  VPO;HL ETXE B BABES BATZ GUZTIRA/TOTAL VIV  SUB  OTRAS PROTEC ;BURUTZEKO ETXE  HL/VIVIENDAS POR EJECUTAR SUB;LU ETXE LIBREA GUZTIRA/TOTAL VIV  SUZ  LIBRE;LU ETXE BOE GUZTIRA/TOTAL VIV  SUZ  VPO;LU ETXE  B BABES BATZ GUZTIRA/TOTAL VIV  SUZ  OTRAS PROTEC ;BURUTZEKO ETXE LU/VIVIENDAS POR EJECUTAR SUZ;NG ETXE  GUZTIAK/TOTAL VIVIENDAS NR;BURUTZEKO ETXE  LN/VIVIENDAS POR EJECUTAR NR
"=001";ABADIÑO;2024;4;2024-05-07T17:00:32Z;Durango;36;7386;587951,34999999998;34967,080000000002;740467,81000000006;374607,59999999998;284026,27000000002;9110,8400000000001;241199,51000000001;36409,510000000002;427;23;20;46;614;358;18;235;39;16
"=002";ABANTO Y CIERVANA-ABANTO ZIERBENA;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;16;9772;579273,40000000002;57767,970000000001;1106586;922714,30099999998;900906,5;181130,03;297048,78999999998;347862,51000000001;625;160;120;756;411;812;244;1467;49;0
"=003";AMOREBIETA-ETXANO;2024;4;2024-05-07T17:00:32Z;Durango;58;18146;1306550,55;161606,12;1604425,4399999999;296992,23999999999;900277,57999999996;89871,380000000005;521935,94;209677,87;1260;226;0;492;1678;763;0;1270;282;90
"=004";AMOROTO;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;13;401;35374,080000000002;7099,7399999999998;0;0;61916,279999999999;14042,6;0;0;27;0;18;20;0;0;0;0;38;7
"=005";ARAKALDO;2024;4;2024-05-07T17:00:32Z;Llodio;2;125;70786,130000000005;8745,9599999999991;0;0;65005,18;15087,440000000001;0;0;0;0;0;23;0;0;0;0;0;0
"=006";ARANTZAZU;2024;4;2024-05-07T17:00:32Z;Igorre;3;359;3769,9200000000001;0;269196,5;86851,080000000002;88888,050000000003;17483,709999999999;0;0;45;0;25;15;0;0;0;0;55;15
"=007";MUNITIBAR-ARBATZEGI GERRIKAITZ;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;24;438;0;0;0;0;59981,660000000003;951,35000000000002;26925;26925;11;0;0;11;0;0;0;29;22;0
"=008";ARTZENTALES;2024;4;2024-05-07T17:00:32Z;Balmaseda-Zalla;36;753;0;0;0;0;116116,63;18452,130000000001;30077,220000000001;30077,220000000001;37;0;0;37;65;0;0;65;74;18
"=009";ARRANKUDIAGA-ZOLLO;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;22;977;138241,17000000001;0;60657;46657;364936,65000000002;97236,610000000001;21510,330000000002;21510,330000000002;192;0;19;200;15;0;0;15;41;12
"=010";ARRIETA;2024;4;2024-05-07T17:00:32Z;Mungia;14;545;0;0;0;0;46883,260000000002;11378,9;37851,790000000001;37851,790000000001;18;0;0;12;73;0;22;95;67;9
