SOZIETATEA_EU/SOCIEDAD_EU;SOZIETATEA_CAS/SOCIEDAD_CAS;EKITALDIA/EJERCICIO;HILABETERA ARTE/MES HASTA;ADJUDIKAZIODUNA/PERSONA ADJUDICATARIA;HELBURUA_EUS/OBJETO_EUS;HELBURUA_CAS/OBJETO_CAS;ADMINISTRARIA/ADMINISTRATIVO;ADMINISTRARIAREN DESKRIBAPENA/ADMINISTRATIVO DESCRIPCION;KONTABILITATE-ESPEDIENTEA/EXPEDIENTE CONTABLE;KONTABILITATE-ESPEDIENTEAREN DESKR./EXPEDIENTE CONTABLE DESCR.;ADJUDIKAZIO-METODOA/METODO ADJUDICACION;ADJUDIKAZIO-METODOA DESKR./METODO ADJUDICACION DESCR.;JARDUKETA/ACTUACION;JARDUKETA DESKRIBAPENA/ACTUACION DESCRIPCION;ADMIN. EREDUA/MODELO ADMIN;ADMIN. EREDUAREN DESKRIBAPENA/MODELO ADMIN DESCRIPCION;XEDAPENA/DISPOSICION;BETEBEHARRA/OBLIGACION;
BFA;DFB;2025;009;47 SEGUNDOS PRODUCCIONES SL;PUBLIZITATEA ETA PROPAGANDA;PUBLICIDAD Y PROPAGANDA;ADMIN20240300001319;SGCM 2025/2026  SERVICIO PUBLICIDAD PROY HENKO NET;CONT220250200007851;SGCM (D 25/26) CONTRATO DE PUBLICIDAD PROY HENKO NET;="01";ABIERTO;="01";INICIAL;CT02;Contrato servicios;6134,70;0,00;
BFA;DFB;2025;009;47 SEGUNDOS PRODUCCIONES SL;PUBLIZITATEA ETA PROPAGANDA;PUBLICIDAD Y PROPAGANDA;ADMIN20240300001319;SGCM 2025/2026  SERVICIO PUBLICIDAD PROY HENKO NET;CONT220250200022710;SGCM-2025/06/30-CT PUBLICIDAD HENKO NET (2025-26);="01";ABIERTO;="01";INICIAL;CT02;Contrato servicios;0,00;511,23;
BFA;DFB;2025;009;47 SEGUNDOS PRODUCCIONES SL;PUBLIZITATEA ETA PROPAGANDA;PUBLICIDAD Y PROPAGANDA;ADMIN20240300001319;SGCM 2025/2026  SERVICIO PUBLICIDAD PROY HENKO NET;CONT220250200026436;SGCM-2025/07/12-CT PUBLICIDAD HENKO NET (2025-26);="01";ABIERTO;="01";INICIAL;CT02;Contrato servicios;0,00;511,23;
BFA;DFB;2025;009;47 SEGUNDOS PRODUCCIONES SL;PUBLIZITATEA ETA PROPAGANDA;PUBLICIDAD Y PROPAGANDA;ADMIN20240300001319;SGCM 2025/2026  SERVICIO PUBLICIDAD PROY HENKO NET;CONT220250200028218;SGCM-2025/08/11-CT PUBLICIDAD HENKO NET (2025-26);="01";ABIERTO;="01";INICIAL;CT02;Contrato servicios;0,00;511,23;
BFA;DFB;2025;009;47 SEGUNDOS PRODUCCIONES SL;PUBLIZITATEA ETA PROPAGANDA;PUBLICIDAD Y PROPAGANDA;ADMIN20240300001319;SGCM 2025/2026  SERVICIO PUBLICIDAD PROY HENKO NET;CONT220250200032019;SGCM-2025/09/19-CT PUBLICIDAD HENKO NET (2025-26);="01";ABIERTO;="01";INICIAL;CT02;Contrato servicios;0,00;511,23;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200006369;SGCT-2025/02/28-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;359,04;359,04;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200008541;SGCT-2025/01/29-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;179,16;179,16;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200009970;SGCT-2025/03/31-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;308,63;308,63;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200013161;SGCT-2025/04/29-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;210,89;210,89;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200024286;SGCT-2025/05/30-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;285,64;285,64;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200025113;SGCT-2025/06/30-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;395,42;395,42;
BFA;DFB;2025;009;ABD TECNOLOGIAS DE IMPRESION SL;ALTZARIAK ETA TRESNAK;MOBILIARIO Y ENSERES;ADMIN20240300000608;SGCT ABD SUM FOTOCOPIADORAS EJERCICIOS ANTER 2024;CONT220250200026890;SGCT-2025/07/29-CT ABD COPIAS FOTOC MAZARREDO 63 4;="01";ABIERTO;="01";INICIAL;CT01;Contrato suministros;206,32;206,32;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220220200034345;IGCM (D 22/23) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;="01";ABIERTO;="01";INICIAL;CT02;Contrato servicios;66898,88;0,00;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200004391;IGCM-2025/02/07-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200007278;IGCM-2025/03/10-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200011109;IGCM-2025/04/07-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200020722;IGCM-2025/06/17-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200020725;IGCM-2025/06/17-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200022628;IGCM-2025/07/07-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200028627;IGCM-2025/08/01-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;ADECCO FORMACION SA;AZTERLANAK ETA LAN TEKNIKOAK;ESTUDIOS Y TRABAJOS TECNICOS;ADMIN20220300001100;IGCM (22) AT EN IGUALDAD AL SECTOR PUBLICO FORAL;CONT220250200030450;IGCM-2025/09/04-CT_ADECCO ASIST TECNICA MAT IGUALD;="01";ABIERTO;="07";PRÓRROGA;CT02;Contrato servicios;0,00;5574,91;
BFA;DFB;2025;009;AERO FERR NORTE SA;KANPOKO KONTRATUAK;CONTRATOS EXTERIORES;ADMIN20200300001268;SERVICIO TRANSPORTE OBJETOS DOCUMENTACIÓN VALIJA 2021-2025;CONT220200200038542;RUTA SPEIS -LOTE 2- SERVICIO DE RUTAS;="01";ABIERTO;="01";INICIAL;CT12;Servicios Centralizados;30201,60;0,00;
